"","Site","Sample_type","Species","Hybrid","Elevation_cat","Elevation_m","Longitude","Latitude","Sample","Dup_ID","Unique_ID","LT","ACI","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA"
"91","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,3,"","HUOB_G003",282,4.9,0.28,0.4,267134,331178,0.193382411,-0.713583029493056,0.690196080028514,2.45024910831936,-0.552841968657781,-0.397940008672038
"92","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,4,"","HUOB_G004",290,5.5,0.42,0.6,90458,96204,0.059727246,-1.22382750994031,0.740362689494244,2.46239799789896,-0.3767507096021,-0.221848749616356
"93","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,4,"","HUOB_G004",425,6.4,0.4,0.7,90458,96204,0.059727246,-1.22382750994031,0.806179973983887,2.62838893005031,-0.397940008672038,-0.154901959985743
"94","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,4,"","HUOB_G004",320,4.7,0.44,0.6,90458,96204,0.059727246,-1.22382750994031,0.672097857935718,2.50514997831991,-0.356547323513813,-0.221848749616356
"95","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,5,"","HUOB_G005",405,4,0.67,0.7,114060,141686,0.19498045,-0.710008931626,0.602059991327962,2.60745502321467,-0.173925197299174,-0.154901959985743
"96","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,5,"","HUOB_G005",340,3.9,0.58,0.8,114060,141686,0.19498045,-0.710008931626,0.591064607026499,2.53147891704225,-0.236572006437063,-0.0969100130080564
"97","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,5,"","HUOB_G005",335,4.3,0.51,0.7,114060,141686,0.19498045,-0.710008931626,0.633468455579587,2.52504480703685,-0.292429823902064,-0.154901959985743
"98","HUOB","sample","N","","HIGH",1851,-119.273507,37.150723,1,"","HUOB_N001",330,4.3,0.37,0.7,191716,240571,0.20307934,-0.692334256705407,0.633468455579587,2.51851393987789,-0.431798275933005,-0.154901959985743
"99","HUOB","sample","N","","HIGH",1851,-119.273507,37.150723,1,"","HUOB_N001",490,3.8,0.46,0.7,191716,240571,0.20307934,-0.692334256705407,0.57978359661681,2.69019608002851,-0.337242168318426,-0.154901959985743
"100","HUOB","sample","N","","HIGH",1851,-119.273507,37.150723,1,"","HUOB_N001",395,5.6,0.38,0.6,191716,240571,0.20307934,-0.692334256705407,0.7481880270062,2.59659709562646,-0.42021640338319,-0.221848749616356
"101","HUOB","sample","N","","HIGH",1851,-119.273507,37.150723,2,"","HUOB_N002",320,6.1,0.45,0.5,270892,339751,0.2026749,-0.693200032591968,0.785329835010767,2.50514997831991,-0.346787486224656,-0.301029995663981
"102","HUOB","sample","N","","HIGH",1851,-119.273507,37.150723,2,"","HUOB_N002",390,9,0.47,0.5,270892,339751,0.2026749,-0.693200032591968,0.954242509439325,2.5910646070265,-0.327902142064283,-0.301029995663981
"103","HUOB","sample","N","","HIGH",1851,-119.273507,37.150723,2,"","HUOB_N002",310,7.2,0.32,0.8,270892,339751,0.2026749,-0.693200032591968,0.857332496431269,2.49136169383427,-0.494850021680094,-0.0969100130080564
"104","HUOB","sample","N","","HIGH",1851,-119.273507,37.150723,3,"","HUOB_N003",283,7.6,0.42,1,320334,385500,0.169042802,-0.772003317168161,0.880813592280791,2.45178643552429,-0.3767507096021,0
"105","HUOB","sample","N","","HIGH",1851,-119.273507,37.150723,3,"","HUOB_N003",365,6.3,0.39,0.8,320334,385500,0.169042802,-0.772003317168161,0.799340549453582,2.56229286445647,-0.408935392973501,-0.0969100130080564
