"","Unique_ID","Site","Species","Elevation_m","Elevation_cat","Longitude","Latitude","ACI","LT","LPS","LMA","LBI","Observed","Shannon","Simpson_1minusD","hill_2","hill_1"
"381","HDRB_G005","SDSB","M. guttatus",1679,"MID",-120.094614,38.136194,3.7,282,0.276666666666667,0.5,0.164677509,21,1.59961430803792,0.644362666666667,2.81185327374704,4.95112244795605
"382","HDRB_G008","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,3.8,391.333333333333,0.216666666666667,0.4,0.440984008,19,1.59906450868668,0.650848,2.86408211896251,4.94840107222015
"383","HHBB_G001","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,5.76666666666667,484.333333333333,0.32,0.633333333333333,0.579353852,14,1.35220018193367,0.596899555555556,2.48077126627386,3.86592191202499
"384","HHBB_G004","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,2.53333333333333,249.666666666667,0.106666666666667,0.15,0.597599425,13,1.32376774050845,0.522343111111111,2.0935529734035,3.75755222158483
"385","HHBB_G005","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,4.23333333333333,526.666666666667,0.276666666666667,0.566666666666667,0.611128902,7,0.721073509656564,0.303221333333333,1.43517597170981,2.05663984874602
"386","HHBB_G009","TWGB","M. guttatus",1238,"MID",-119.951305,37.85882,2.33333333333333,297.666666666667,0.336666666666667,0.5,0.114591175,8,1.18475029926601,0.622229333333333,2.64710865145697,3.2698702305219
"387","HHBB_L009","WCFB","M. guttatus",1380,"MID",-119.719077,37.723593,7.03333333333333,397,0.33,0.7,0.195914972,13,1.33756128707938,0.567349333333333,2.31133354700328,3.8097413019375
"388","HHBB_L010","WCFB","M. guttatus",1380,"MID",-119.719077,37.723593,3.6,373,0.376666666666667,0.566666666666667,0.191469533,21,1.29853383441063,0.609592888888889,2.56142875357462,3.66392081301753
"389","HULB_L002","WCFB","M. laciniatus",1380,"MID",-119.719077,37.723593,2.7,343.666666666667,0.35,0.7,0.316139391,10,0.59697474826613,0.271786666666667,1.37322396367365,1.81661476207885
"390","HUOB_G012","WSHB","M. guttatus",1235,"MID",-119.647878,37.543343,3.2,199.666666666667,0.243333333333333,NA,0.060635449,19,1.81102811590645,0.76032,4.17222963951936,6.11673291097787
"391","HUOB_G022","WSHB","M. guttatus",1235,"MID",-119.647878,37.543343,6.7,281,0.353333333333333,NA,0.068838655,5,0.613659515247266,0.326908444444444,1.48568198745952,1.84717882416992
"392","HUOB_G062","WSHB","M. guttatus",1235,"MID",-119.647878,37.543343,6.7,281,0.353333333333333,NA,0.068838655,6,0.815829800361504,0.448682666666667,1.81383740277831,2.26105111515326
"393","HUOB_G092","AGFB","M. laciniatus",1124,"LOW",-119.570677,37.33823,2.76666666666667,321.666666666667,0.313333333333333,NA,0.480349726,13,1.48132741919431,0.704053333333333,3.37898720490178,4.39878083332502
"394","HUOB_G112","AGFB","M. laciniatus",1124,"LOW",-119.570677,37.33823,1.8,316.666666666667,0.27,NA,0.264630912,23,1.76565489715687,0.680963555555556,3.13443814151501,5.84539924018527
"395","HUOB_N003","AGFB","M. nasutus",1124,"LOW",-119.570677,37.33823,2.33333333333333,281.666666666667,NA,0.2,0.142523641,9,1.45480599993166,0.695153777777778,3.28034243859199,4.28365235613725
"396","HUOB_N005","AGFB","M. nasutus",1124,"LOW",-119.570677,37.33823,3.43333333333333,293.333333333333,0.246666666666667,0.2,0.160159411,19,1.33273919518939,0.506510222222222,2.02638442583973,3.79141460133153
"397","KNOB_L002","AGFB","M. nasutus",1124,"LOW",-119.570677,37.33823,4.2,340,NA,0.2,0.130502117,22,1.78021405966929,0.730688,3.71316539923954,5.93112589756229
"398","KNOB_L003","AGFB","M. nasutus",1124,"LOW",-119.570677,37.33823,3.9,318.333333333333,0.27,0.2,0.231927421,11,1.45835861343735,0.699239111111111,3.32490040076133,4.29889758151388
"399","LMZZ_G006","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,4.7,483,0.316666666666667,0.4,0.112254814,11,1.51678715659984,0.707857777777778,3.42299032434735,4.55755892443133
"400","LMZZ_G008","BHEB","M. nasutus",1209,"LOW",-119.393233,37.053544,5.03333333333333,456.666666666667,0.226666666666667,0.266666666666667,0.094901942,14,1.45304590812745,0.635658666666667,2.74467898234622,4.27611936605487
